Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array8_5,6236717.866666666,293036.949382694,6125425.477931672,6348010.255401661,13158683.0,1.1547005383792515,13158682.561456732,13158683.438543268,15937.933333333332,3612.912859299113,14565.786567371522,17310.08009929514,6039.066666666667,1366.4012815502706,5520.1216567809315,6558.011676552402
array8_6,1803047.7333333334,255618.16563211795,1705966.6098873492,1900128.8567793176,3663655.8333333335,0.8975274678557507,3663655.4924617265,3663656.1742049404,13092.166666666666,2418.3289145376584,12173.7104712525,14010.622862080832,6021.4,532.852112066128,5819.02830414645,6223.771695853549
array8_7,5992753.466666667,440194.99098995765,5825571.98269458,6159934.950638753,12577443.9,0.9433981132056605,12577443.541707199,12577444.258292802,13445.166666666666,2361.587941524845,12548.26010326664,14342.073230066691,5812.866666666667,817.6844841108065,5502.3185953059165,6123.414738027417
array8_8,307877.9,28244.667749683304,297150.86864948133,318604.9313505187,128594.0,0.9660917830792959,128593.63308837844,128594.36691162156,11891.933333333332,1230.388717257906,11424.644482201493,12359.222184465172,5744.766666666666,567.6475246332201,5529.180034642886,5960.3532986904465
array8_9,5796407.466666667,296153.1028500555,5683931.595221461,5908883.338111873,12123088.133333333,1.024152766382481,12123087.744370753,12123088.522295913,14311.466666666667,2866.636725425033,13222.747822575204,15400.18551075813,6100.4,961.3523668943315,5735.288359460823,6465.511640539176
array8_10,5904334.233333333,297547.4740311405,5791328.794201004,6017339.6724656625,12123087.866666667,1.203698005684519,12123087.409514671,12123088.323818663,15918.966666666667,2514.450867596254,14964.004352183558,16873.928981149777,6498.966666666666,689.1822440802981,6237.222410937084,6760.710922396249
array8_11,349157.9,70390.42178561418,322424.3491590989,375891.4508409011,129241.93333333333,1.0934146311237816,129241.51806581696,129242.34860084971,12688.566666666668,1592.5492076821015,12083.733024102712,13293.400309230623,6009.066666666667,680.15130342855,5750.752268365556,6267.381064967777
array8_12,5900979.066666666,583648.4182526859,5679315.461494769,6122642.671838564,12123088.033333333,1.1396880664852505,12123087.600491647,12123088.46617502,14939.033333333333,2299.2310523786473,14065.809268545796,15812.25739812087,6258.5,763.7494244405906,5968.435903919185,6548.564096080815
array8_13,382146.0,87461.56858186342,348929.0049743208,415362.9950256792,203409.66666666666,1.349897115421106,203409.1539897676,203410.17934356572,12029.7,967.7446684602987,11662.160629741791,12397.23937025821,5993.233333333334,456.7549075330834,5819.7625651149465,6166.704101551721
array8_14,6274500.2,679637.2866068291,6016381.0199471675,6532619.380052833,12577444.2,1.1075498483890767,12577443.779364074,12577444.620635925,16949.333333333332,3945.8354192180336,15450.746038164543,18447.92062850212,6537.133333333333,833.6443979432851,6220.523852521785,6853.742814144882
