Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
S1BF0.out,11244530,6144419,70997,32798,1205730
S1BF0.out,9442813,6141982,89081,38597,1204694
S1BF0.out,10772650,6164409,84577,35767,1207420
S1BF0.out,10376553,6137158,79029,27769,1204011
S1BF0.out,10840530,6150506,74005,25412,1205757
S1BF0.out,11141399,6146824,74148,23506,1205002
S1BF0.out,10858241,6139413,76177,21411,1203766
S1BF0.out,10992219,6135092,73810,23917,1203604
S1BF0.out,10666591,6125017,74138,14837,1201660
S1BF0.out,10499212,6148107,79096,12480,1205712
S1BF0.out,10486670,6167139,71335,12139,1208698
S1BF0.out,10576546,6127057,68262,14177,1201715
S1BF0.out,10634304,6125358,67373,12602,1201726
S1BF0.out,10685733,6132558,66304,11573,1202688
S1BF0.out,10599615,6128998,67465,12859,1202095
S1BF0.out,10452200,6122009,62351,11333,1201106
S1BF0.out,10600841,6158105,71400,14029,1207207
S1BF0.out,10559262,6136212,72081,14338,1203296
S1BF0.out,10566906,6117707,67799,12272,1200460
S1BF0.out,10521247,6133945,66934,12758,1203292
S1BF0.out,10911420,6135887,72594,16086,1203674
S1BF0.out,10493227,6141116,72572,13175,1204543
S1BF0.out,10508533,6155131,70738,14071,1206871
S1BF0.out,10668937,6184224,77217,13261,1210779
S1BF0.out,10670710,6162933,72010,12434,1207605
S1BF0.out,10678501,6136361,69559,12623,1203680
S1BF0.out,10576710,6155868,73667,15527,1206822
S1BF0.out,10662925,6141024,71986,14901,1204616
S1BF0.out,10887045,6161229,70543,17294,1207677
S1BF0.out,10739863,6148078,73317,22566,1205316
S1BF0.out,10750388,6135055,66346,16836,1202636
S1BF0.out,10741045,6143880,71114,20341,1205155
S1BF0.out,10600774,6156034,69888,16465,1206407
S1BF0.out,10788358,6167738,74659,16776,1208489
S1BF0.out,10485662,6146865,71800,22429,1205556
S1BF0.out,10717247,6148972,71684,23603,1206295
S1BF0.out,10582697,6139722,68307,14405,1204554
S1BF0.out,10646710,6141151,70010,16704,1204836
S1BF0.out,10736760,6139844,77809,33847,1204176
S1BF0.out,10735441,6160769,77206,16642,1207104
S1BF0.out,10610791,6146976,74653,13465,1205138
S1BF0.out,11704840,6141915,73110,17211,1205253
S1BF0.out,10599019,6139080,75506,16600,1203852
S1BF0.out,10546624,6127118,69891,11701,1201718
S1BF0.out,10554361,6133844,68029,13307,1202858
S1BF0.out,11085024,6164842,77655,19879,1208294
S1BF0.out,10850707,6150258,71542,18901,1205925
S1BF0.out,10538020,6142773,70350,15811,1204924
S1BF0.out,10653464,6133723,65185,12680,1202939
S1BF0.out,10571223,6150340,71801,14812,1205750
S1BF0.out,10489470,6132897,72564,13322,1203136
S1BF0.out,10687390,6122353,67445,14336,1201352
S1BF0.out,10545733,6148697,72520,17964,1205599
S1BF0.out,10767903,6157175,77616,20863,1206656
S1BF0.out,10499983,6128136,70452,17791,1201796
S1BF0.out,10619127,6148475,71694,17241,1205986
S1BF0.out,10509589,6128920,70578,16790,1201838
S1BF0.out,10746838,6160937,80974,19756,1207131
S1BF0.out,10596690,6130570,70617,19602,1202389
S1BF0.out,10131187,6141056,83086,37867,1204606
S1BF0.out,10722626,6124720,68783,27122,1201629
S1BF0.out,11178429,6136741,76440,40695,1203691
S1BF0.out,11248451,6193749,77802,36547,1212181
S1BF0.out,11026336,6126369,78489,38860,1202120
S1BF0.out,10472503,6129390,76600,26968,1202243
S1BF0.out,11280545,6165623,79866,31110,1208625
S1BF0.out,10496641,6154789,77386,27964,1206695
S1BF0.out,10850253,6125223,71216,24010,1201778
S1BF0.out,10784527,6162487,70302,21755,1207302
S1BF0.out,10690127,6153778,67162,13351,1205915
S1BF0.out,11254803,6140194,73735,25563,1204271
S1BF0.out,10565696,6149337,64762,12611,1205613
S1BF0.out,10714766,6127503,72606,22266,1202340
S1BF0.out,10699393,6142431,73749,16107,1204478
S1BF0.out,10662831,6140886,69583,14324,1204576
S1BF0.out,10142647,6129099,74202,13244,1202519
S1BF0.out,10711254,6163949,79617,19174,1208109
S1BF0.out,10509508,6119644,68677,13044,1200916
S1BF0.out,10603638,6141600,64512,11664,1204342
S1BF0.out,10732655,6122998,64915,11315,1201398
