model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,7.270013332366943,HSKN2,10,78,HSKN1,HSKN
meta-llama/Meta-Llama-3.1-8B-Instruct,11.35452151298523,HSKN3,3,101,HSKN2,HSKN
meta-llama/Meta-Llama-3.1-8B-Instruct,4.260502338409424,HSKN4,9,99,HSKN3,HSKN
meta-llama/Meta-Llama-3.1-8B-Instruct,9.74191689491272,RNHY1,3,33,,RNHY
meta-llama/Meta-Llama-3.1-8B-Instruct,2.8863320350646973,RNHY2,6,64,RNHY1,RNHY
meta-llama/Meta-Llama-3.1-8B-Instruct,12.702905416488647,RNHY3,1,63,RNHY2,RNHY
meta-llama/Meta-Llama-3.1-8B-Instruct,3.7942686080932617,RNHY4,9,83,RNHY3,RNHY
meta-llama/Meta-Llama-3.1-8B-Instruct,5.786218643188477,RNHY5,2,80,RNHY4,RNHY
meta-llama/Meta-Llama-3.1-8B-Instruct,16.457051753997803,SXKC1,3,35,,SXKC
meta-llama/Meta-Llama-3.1-8B-Instruct,14.796371221542358,SXKC2,5,75,SXKC1,SXKC
meta-llama/Meta-Llama-3.1-8B-Instruct,11.675130605697632,SXKC3,3,106,SXKC2,SXKC
meta-llama/Meta-Llama-3.1-8B-Instruct,9.1258282661438,SXKC4,10,106,SXKC3,SXKC
